# f/f0                      Re(j_E_dir)                 Im(j_E_dir)                 Re(j_ortho)                 Im(j_ortho)                 I_E_dir                     I_ortho                    
-1.987500624244357823e+02   +7.072928219342822246e-14   -6.913057075524605535e-13   -8.556804115930584372e-13   +3.207431250482882748e-13   +9.035709997134224691e-34   +1.562499310784279278e-33
-1.987300634243930801e+02   +7.472679840295239360e-14   -7.176751143468995622e-13   -8.525515533867600782e-13   +2.868393443866257375e-13   +9.739821669018108043e-34   +1.513650252794008649e-33
-1.987100644243503496e+02   +8.240009697637868604e-14   -7.432911377778806909e-13   -8.433193440540448250e-13   +2.537772440318895912e-13   +1.046037740316150299e-33   +1.450631487013109694e-33
-1.986900654243076474e+02   +9.357565979202001811e-14   -7.677831938316835926e-13   -8.281600182571619015e-13   +2.219571567142246696e-13   +1.118711482343857858e-33   +1.374649378649247116e-33
-1.986700664242649452e+02   +1.080042794663622988e-13   -7.907452315514488812e-13   -8.073134289722321492e-13   +1.917681151796658021e-13   +1.190831596993917257e-33   +1.287278969669550485e-33
-1.986500674242222146e+02   +1.253568180731691970e-13   -8.117536676762212634e-13   -7.810802455561535924e-13   +1.635850311135847672e-13   +1.261090564238723430e-33   +1.190411417795261688e-33
-1.986300684241795125e+02   +1.452274369990255020e-13   -8.303753551080859361e-13   -7.498186599180344426e-13   +1.377658539683798845e-13   +1.328032897426937188e-33   +1.086190757251919560e-33
-1.986100694241368103e+02   +1.671367988589538509e-13   -8.461715378088135204e-13   -7.139406398973063864e-13   +1.146486867197349986e-13   +1.390035695872570297e-33   +9.769429416546103258e-34
-1.985900704240941081e+02   +1.905349257509309457e-13   -8.587240682302165722e-13   -6.739077605637635758e-13   +9.454883106122622186e-14   +1.445368350400750967e-33   +8.651003459905026579e-34
-1.985700714240514060e+02   +2.148099695989248277e-13   -8.676402981983442804e-13   -6.302266375521431850e-13   +7.775573394469241870e-14   +1.492204444086886914e-33   +7.531249806523696840e-34
-1.985500724240086754e+02   +2.392971124165917290e-13   -8.725613589108028879e-13   -5.834439816361101405e-13   +6.452981190956826719e-14   +1.528659666361238264e-33   +6.434336010132240575e-34
-1.985300734239659732e+02   +2.632867149869407285e-13   -8.731825542893614031e-13   -5.341412901600201105e-13   +5.509913983501432042e-14   +1.552886034852006108e-33   +5.383276800273691207e-34
-1.985100744239232711e+02   +2.860406701015171886e-13   -8.692674650550232238e-13   -4.829291882600564796e-13   +4.965600631471044734e-14   +1.563170824991193775e-33   +4.399308552788989084e-34
-1.984900754238805689e+02   +3.068041492041470234e-13   -8.606481973933755129e-13   -4.304414307804931121e-13   +4.835335777034156107e-14   +1.558001682276746363e-33   +3.501359823539550074e-34
-1.984700764238378667e+02   +3.248213647006671699e-13   -8.472469330201655973e-13   -3.773285744992099473e-13   +5.130117615558187033e-14   +1.536215959487202686e-33   +2.705633503663984335e-34
-1.984500774237951646e+02   +3.393545303425325359e-13   -8.290749526808576809e-13   -3.242513301822420728e-13   +5.856285877964102237e-14   +1.497086931996606833e-33   +2.025309783900032304e-34
-1.984300784237524340e+02   +3.496994031603735560e-13   -8.062400164823095099e-13   -2.718736058462189768e-13   +7.015169153350015645e-14   +1.440433099860079892e-33   +1.470372537101032083e-34
-1.984100794237097318e+02   +3.552025754847215414e-13   -7.789484398293368029e-13   -2.208552573424744269e-13   +8.602752695707844181e-14   +1.366704524715989069e-33   +1.047555349945772249e-34
-1.983900804236670297e+02   +3.552845192301415002e-13   -7.475101100385787621e-13   -1.718445708069220844e-13   +1.060937948587132170e-13   +1.277069232714881190e-33   +7.603976309812978796e-35
-1.983700814236243275e+02   +3.494504273290032333e-13   -7.123231864345567978e-13   -1.254705141638745973e-13   +1.301949847189111420e-13   +1.173401842885552413e-33   +6.093963077936500386e-35
-1.983500824235816253e+02   +3.373100886238188223e-13   -6.738777367311536534e-13   -8.233481171484952021e-14   +1.581147454366635840e-13   +1.058311218845499473e-33   +5.922348477349878034e-35
-1.983300834235388947e+02   +3.185919837349611685e-13   -6.327449427901253740e-13   -4.300391625472447529e-14   +1.895747489198119391e-13   +9.350843429253816239e-34   +7.040688748736117296e-35
-1.983100844234961926e+02   +2.931587960420213452e-13   -5.895609220064611239e-13   -8.000975848591873873e-15   +2.242344595552589771e-13   +8.075842644618650948e-34   +9.378466322997184103e-35
-1.982900854234534904e+02   +2.610109478744560272e-13   -5.450151802604906238e-13   +2.220208438405922860e-14   +2.616919416625254410e-13   +6.801112634534790796e-34   +1.284643018402450737e-34
-1.982700864234107598e+02   +2.222994370744159286e-13   -4.998385804615107885e-13   +4.719222349214928710e-14   +3.014858215021305898e-13   +5.572392366092888854e-34   +1.733987906064368065e-34
-1.982500874233680577e+02   +1.773278620302561922e-13   -4.547763873287363957e-13   +6.662252894784206002e-14   +3.430984990238101153e-13   +4.435832400521889641e-34   +2.274172843977413772e-34
-1.982300884233253555e+02   +1.265509265412009632e-13   -4.105783998822600372e-13   +8.021887146401832727e-14   +3.859606770324837283e-13   +3.435830232485651331e-34   +2.892524831686245721e-34
-1.982100894232826533e+02   +7.056933916541697054e-14   -3.679770425240402520e-13   +8.778579222038367763e-14   +4.294572416892821025e-13   +2.612544947420721742e-34   +3.575641308406831505e-34
-1.981900904232399228e+02   +1.012801725024700551e-14   -3.276671428173485313e-13   +8.921144618545344674e-14   +4.729344884317174313e-13   +1.999536463773640165e-34   +4.309586314323019169e-34
-1.981700914231972206e+02   -5.390438631112353686e-14   -2.902882806126083003e-13   +8.447143456223481064e-14   +5.157086422330513828e-13   +1.621597250795422595e-34   +5.080053377183471306e-34
